order_id,order_date,store_id,city,country,product,category,quantity,unit_price,total_amount,payment_method,order_type,customer_age,rating
ORD-142586,2025/12/18 18:04,KFC-007 ,London,UK,Pepsi (Large),Beverages,1,220,220,Card,Takeaway,20.0,3.6
ORD-130648,2024-02-27 11:43:00,KFC-005,Peshawar,Pakistan,Chicky Meal,Meals,2,750,1500,Cash,dine-in,61.0,2.4
ORD-107247,2024-09-15 18:21:00,KFC-007,London,UK,Chicken Bucket (8 pcs),Buckets,3,1850,5550,cash,Dine-In,61.0,4.1
ORD-178030,09-18-2023,KFC-006,Dubai,UAE,ZINGER BURGER,Burgers,2,650,1300,cash,Takeaway,27.0,4.0
ORD-127369,2024-07-13 13:04:00,KFC-003,Karachi ,Pakistan,Mighty Zinger,Burgers,5,890,4450,,dine-in,58.0,4.7
ORD-126721,2025-09-07 22:44:00,KFC-007,London,UK,Boneless Bucket,Buckets,5,1650,8250,,Takeaway,54.0,3.8
ORD-158841,2023-08-01 12:44:00,KFC-008,Manchester,UK,Krunch Burger,Burgers,2,380,760,Cash,Takeaway,56.0,2.7
ORD-155492,2024-12-06 12:26:00,KFC-007,London,UK,Chicken Bucket (8 pcs),Buckets,2,1850,3700,Credit Card,TAKEAWAY,39.0,3.3
ORD-146154,2025-04-30 10:11:00,KFC-003,Karachi,Pakistan,Pepsi (Large),Beverages,2,220,440,cash,dine-in,60.0,3.5
ORD-170810,2024-06-17 22:50:00,KFC-003,Karachi,Pakistan,Hot Wings (5 pcs),Chicken,3,480,1440,Credit Card,Delivery,61.0,3.9
ORD-142794,2025-08-10 17:30:00,KFC-004,Rawalpindi,Pakistan,Rice Bowl,Rice,3,560,1680,Online,delivery,17.0,4.1
ORD-132894,2023-08-20 16:28:00,KFC-004,Rawalpindi,Pakistan,Chicken Bucket (8 pcs),Buckets,3,1850,5550,Credit Card,delivery,,3.4
ORD-167319,2023-09-09 12:43:00,KFC-002,Lahore,Pakistan,Coleslaw,Sides,3,180,540,Online,TAKEAWAY,54.0,3.3
ORD-194884,2024-12-07 11:13:00,KFC-004,Rawalpindi,Pakistan,Fries (Regular),Sides,1,220,220,Online,TAKEAWAY,18.0,1.8
ORD-108524,2025-07-09 22:24:00,KFC-005,Peshawar,Pakistan,Fries (Regular),Sides,2,220,440,online ,Takeaway,47.0,3.2
